Itemname,Brand,Category1,Category2,Category3,Category4,Price,SoldQuantity,TotalAmount
20 CANT MIRADO BISIKLET,OYUNCAK,OYUNCAK,ZEKA GELISTIRICI,OYUNCAKLAR,BEBE OYUNCAK,365.53,8,2924.24
20 LI SUNUM DOSYASI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,53.43,178,1128.96
200 YAPRAK 4+1 AYRACLI DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,45.60,164,1628.03
20006 A5 SAFIR 4+1 150 YP AYRAÇ PP KPK,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,2.48,170,4341.57
2012 KPSS GY-GK KON.ANL.CEP BOY,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,41.88,186,2852.33
2018 OGRENCI MAKASI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,8.11,199,1297.50
202 TURCAN HIZLI YAPIŞTIRICI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,3.31,205,508.60
21 CM KALPLI AYILAR ,OYUNCAK,OYUNCAK,ZEKA GELISTIRICI,OYUNCAKLAR,BEBE OYUNCAK,74.40,4,297.60
2110 LOGON OYUN HAMURU SANDK,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,89.58,177,1458.21
2112 LOGON OYUN HAMURU 12 LI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,8.91,192,1358.53
212 SIVI YAPIŞTIRICI 7GR,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,28.30,134,515.79
2124 LOGON KOVALI OYUN HAMURU,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,47.24,179,1626.30
217 BRONS RESIM PALETI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,60.59,165,2221.03
2258 VERSATIL KALEM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,27.82,177,3491.82
231305 RAINBOW KESIR TAKIMI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,3.46,160,447.57
240 YAPRAK 5+1 AYRACLI DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,16.79,169,1411.45
25*35 SPIRALLI RESIM DEF.15 YAP. ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,2.66,188,3167.93
250 ZEKA OYUNU,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,37.74,190,5023.09
25X35 100 ' LU RESIM KAGIDI ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,168.01,201,10694.25
25x35 TELLI RESIM DEFTERI ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,32.02,192,3481.43
2601 EDDING TAHTA KALEMI MAVI ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,16.40,175,2437.10
280 YAPRAK 5+2 AYRACLI DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,32.11,196,1867.10
2B-30 PIANO SILGI BEYAZ*30,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,34.56,194,1018.16
3.SINIF OKUMA KITAPLARI - 10 KITAP,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,41.47,161,2399.60
30 GUNDE MUKEMMEL CILT,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,42.02,218,5691.01
3002 METALIK VERSATIL,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,4.06,186,2086.68
"304MIKRO VERSATIL 0,7",KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,62.28,188,1334.86
309 GURPAS SEKRETERLIK BLOK KAPAKLI DEFTERLI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,59.63,201,923.13
"320 MIKRO VERSATIL 0,7",KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,17.00,200,1699.21
32839 ROARY MATARA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,45.46,151,595.64
32901 SPIDERMAN MATARA ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,28.90,188,1392.53
33 MT NOKI BANT,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,38.23,119,2259.40
35*50 RESIM DEFTERI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,174.69,199,4846.93
364 GÜRPAS NOT DEFTERI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,32.19,218,4342.81
365 GUN DUA ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,87.36,161,5172.07
365 GUNDE GUZEL AHLAK,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,112.45,232,8643.50
3A OPP DEFTER KABI RENKLI SEFFAV RULO 40X150CM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,8.87,188,1308.93
3A OPP DEFTER KABI RENKLİ RULO 40X150CM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,139.81,151,1607.52
3A OPP DEFTER KABI SEFFAV RULO 40X150CM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,109.84,158,1243.89
3A PASTEL BOYA 12'LI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,27.96,145,2954.42
3A POSET DOSYA*100,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,29.00,152,1306.13
3A SUNUM DOSYASI 20Lİ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,43.25,175,3093.46
3LU GULEN SAKLAMA KABI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,30.61,145,2645.39
3LÜ BÖLMELİ SAKLAMA KABI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,15.82,165,2647.52
4.SINIF OKUMA KITAPLARI - 10 KITAP,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,84.17,138,3409.50
40 CM AYILAR,OYUNCAK,OYUNCAK,ZEKA GELISTIRICI,OYUNCAKLAR,BEBE OYUNCAK,66.87,5,334.35
40 YAPRAK 25X35 TELLI RESIM DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,6.17,185,3790.05
400/4 SAFIR DEFTER PP KAPAK,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,104.55,159,1452.01
4012 MILAN SILGI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,13.39,156,1760.79
404 KIRTASIYE TIPI YAPISTIRICI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,55.92,187,512.04
404 YAPISTIRICI 19GR SOLVENTSIZ*25,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,26.70,219,1239.39
41 YASIN BILGISAYAR HATLI TURKCE OKUNUSLU RAHLE BOY,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,112.32,160,5680.24
41 YASIN CAMI BOY/AYFA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,43.24,195,6712.88
41 YASIN HAFIZ BOY / BKM,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,9.80,173,1842.56
41 YASIN ORTA BOY/AYFA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,37.52,176,4682.77
41 YASIN RAHLE BOY / AYFA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,21.37,105,3074.47
425 MIKRO TUKENMEZ KALEM*24,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,40.98,157,1613.37
45 MM X 40 MM BANT,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,5.67,193,2033.54
5 LI TELLI DOSYA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,49.19,209,4064.24
5-6-2 TAMAM DEGIL REIS BEN DE VARIM,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,121.26,233,9297.48
50 CM BEYAZ KEDI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,103.52,179,17215.91
50 CM NAKISLI KALP YASTIK  ,OYUNCAK,OYUNCAK,ZEKA GELISTIRICI,OYUNCAKLAR,BEBE OYUNCAK,174.59,1,174.59
503 JAPON YAPISTIRICI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,52.17,184,1824.85
507 TIKO KALEMTRAŞ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,30.67,157,1491.86
50X70 RULO KECE,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,35.26,162,771.13
511 BOSS IMZA KALEM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,38.59,191,5631.35
514 MEDYEN MATARA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,129.56,182,5848.30
516 MEDYEN MATARA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,11.33,218,6343.76
526 VERSATIL KALEM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,1.28,197,4778.77
532 VERSATIL KALEM IPLI UZAYAN,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,141.61,216,4005.01
538 SCHOOL VERSATIL KALEM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,15.82,186,1570.59
590 VERSATIL KALEM MINI ALUMINYUM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,39.28,124,848.94
590A MİNİ ALIMİNYUM VERSATIL,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,5.51,193,906.23
6 ADIMDA ISTEDIGIN HER SEYI ELDE ET,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,68.28,180,4441.21
6 RENKLI TUKENMEZ KALEM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,125.11,252,1728.57
6.HIS,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,70.41,160,5720.80
60 SANIYELIK LIDER,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,9.72,186,4095.37
60 YAP.CIZGILI LISE,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,509.98,196,2112.91
60 YAP.KARELI H.METOD,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,43.65,145,2354.45
65 CM TISORTLU AYI  ,OYUNCAK,OYUNCAK,ZEKA GELISTIRICI,OYUNCAKLAR,BEBE OYUNCAK,307.72,8,2461.76
72 YAPRAK SP.KARE KARTON DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,6.79,192,1259.07
72 YAPRAK SP.KARE P.P DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,9.53,174,3525.44
7812 ITHAL VERSATIL KALEM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,18.87,162,2259.18
80 GUNDE DUNYA TURU / RESIMLI KLASIKLER,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,30.49,209,8868.49
80 YAP.CIZGILI H.METOD,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,17.16,174,3247.25
80 YAP.CIZGILI LISE,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,12.16,166,1644.80
80 YAP.KARELI LISE,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,50.14,204,2617.65
837 MARLA RENKLI ATAS*24,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,16.41,132,1669.69
8513 ÖGRENCI KALEMLIK,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,7.14,165,5077.18
96 YAPRAK SP.CIZGI P.P DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,135.42,252,5859.21
96 YAPRAK SP.KARE P.P DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,13.15,144,1190.70
96 YP SPIRALLI DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,10.05,208,1165.75
9836 VERSATIL KALEM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,126.41,181,2568.86
99  KALEMLIK 92151,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,49.82,202,7956.82
99 BESLENME 92823,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,96.12,155,11913.88
99 KALEMLIK 92150,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,8.35,167,1060.88
99 TENEKE KALEM TRAS,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,92.72,185,1557.93
A SINIF LISE TIPI OKUL CANTASI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,8.26,148,1952.71
A'DAN Z'YE POZITIF COCUKLAR YETISTIRME ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,119.41,163,10050.62
