Itemid,Itemcode,Itemname,Price,Category1,Category2,Category3,Category4,Brand,SoldQuantity,TotalAmount
18178,30702,PIKALEMUN HATIRA DEFTERI KUTULU KILITLI  ,44.28,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,278,4801.38
5439,6077,,123.50,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,COP TORBALARI,COOK,277,13913.03
21878,39407,,55.90,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,CAM CEREZLIK VE KASELER,GLASSCO,277,3146.46
21288,44123,,15.80,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,DIGER PLASTIK EV GERECLERI,SUN,277,2291.86
20222,20164,,6.62,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,DIGER TABAK,GURAL,276,35120.66
7085,13424,MERVE ABAKUS 8023,172.63,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,276,2806.30
9926,10524,,139.81,EV,TEKSTIL-GIYIM-AKSESUAR,CAMASIRLAR,BAYAN CAMASIR,TUTKU,275,11327.25
18922,33401,,44.66,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,275,10809.18
2984,14822,,19.29,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,TENCERE,PASA BAHCE,273,23203.52
15937,27389,,71.58,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,273,15291.96
10629,4436,WINX 0.7 CUC     ,41.88,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,273,1845.50
15974,27426,AFFET VE UNUT,20.27,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,272,7343.45
14371,26292,HANIMLARA OZEL ILMIHAL NUH,45.38,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,272,6882.28
9350,16191,,15.26,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,PLASTIK ALTLIKLAR,BORA,271,5594.95
21811,39278,,21.81,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,KASIK,LUX,270,13050.83
2972,14783,,237.30,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,CAM ALTLIKLAR,PASA BAHCE,270,9045.38
25797,36848,,57.66,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,269,21584.96
1697,7685,,26.94,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,269,5444.35
3048,14939,MIKRO SOFT SILGI 2B-24N NEON,5.16,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,269,1629.03
26430,42285,,53.55,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,,PASA BAHCE,268,33959.94
3811,15485,,8.27,EV,TEKSTIL-GIYIM-AKSESUAR,CAMASIRLAR,ERKEK CAMASIR,NAMALDI,268,17829.89
21606,31742,KITAP KAPTAN FELLINI-EFSANE KRAMPONLAR,17.59,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,268,7804.45
25205,41000,GIZEMLI SAYILAR KITABI,134.05,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,268,6777.74
24477,40599,KADIN ASIK OLURSA,38.93,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,267,11263.96
15500,32177,BANA PEYGAMBERIMI OGRET,2.93,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,267,5578.49
17420,33186,,27.62,EV,ELEKTRIK-ELEKTRONIK,ELEKTRONIK,ELEKTRONIK ALETLER,S-LINK,267,5541.03
22059,20911,,129.56,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,266,34660.34
16807,19141,,76.21,EV,TEKSTIL-GIYIM-AKSESUAR,CAMASIRLAR,ERKEK CAMASIR,TUTKU,266,34096.81
21442,44424,LIBAIJIN METAL MAKAS,27.09,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,266,9068.85
26568,37221,,181.13,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,CAM SU BARDAGI,PASA BAHCE,266,8358.59
7678,23339,,28.10,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,266,8048.36
2476,8177,IDAM GORUSMELERI,54.25,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,266,7648.68
24086,35964,FLASH&DASH MATARA 92931,158.06,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,265,14407.52
25146,36548,,50.78,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,265,14024.39
26880,37709,"TANGY FRICTON 0,7 JEL KALEM MAVI ",3.54,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,265,7925.34
9966,10608,MUZIK DEFTERI BUYUK BOY TELLI,74.21,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,265,4327.96
9427,16359,,85.09,EV,TEKSTIL-GIYIM-AKSESUAR,CAMASIRLAR,BAYAN CAMASIR,TUTKU,265,2661.19
8929,3894,,96.70,EV,TEKSTIL-GIYIM-AKSESUAR,CAMASIRLAR,ERKEK CAMASIR,NAMALDI,264,19239.07
25014,36383,BRONS FULUT *48,209.64,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,264,5455.68
24334,40341,,26.73,EV,TEKSTIL-GIYIM-AKSESUAR,CORAPLAR,BAYAN CORAP,PENTI,264,5284.31
19085,33595,FANART GLITTER PEN,34.77,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,264,1750.06
23995,35836,SUDOR EVA KARISIK 10 LU,21.49,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,263,9369.26
4932,17920,,0.77,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,CAM TABAK,PASA BAHCE,262,32848.38
16454,30183,MAGNUM IMZA KALEMI SIYAH MS10BLC,20.63,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,262,5601.71
26878,37707,TICON STICKIR,52.48,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,262,2024.67
25853,36912,,36.29,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,261,26423.88
18933,33412,,3.50,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,261,23965.71
15980,27432,SOSYALIZMIN VE SOSYAL MUCADE. TARIHI,66.47,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,261,17129.36
12413,21647,,12.64,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,261,6540.65
7872,7018,,8.44,EV,ELEKTRIK-ELEKTRONIK,ELEKTRONIK,ELEKTRONIK ALETLER,AVEC,260,17401.62
10193,10978,,38.81,EV,KISISEL ILGI-EGLENCE,NALBURIYE-HIRDAVAT,EV GERECLERI,OYUNCAK,260,9277.65
19318,28445,TIGRA 0105 MATARA ,19.01,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,260,8985.73
5084,24922,,25.23,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,260,4722.89
12202,5509,RAYTING VERSATIL 07,4.06,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,260,1673.40
21990,20831,BEN10 KUTU KLASOR LASTIKLI,108.58,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,259,9238.40
13470,23703,,4.21,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,DIGER PLASTIK EV GERECLERI,FLORA,259,5778.63
3916,15792,CASIO DX 120 ST HESAP MAKINASI,28.01,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,259,1777.50
18622,19792,,30.36,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,258,33787.92
24866,36202,IBNI SINA AVICENNA,8.12,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,258,9931.77
6931,13146,KIRTA.YENER KUP BLOK NOT KAGIGI,37.04,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,258,4991.06
10020,10710,MAGNUM FINELINER KALEM,6.10,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,258,3272.70
23407,39714,SEVİNÇ BUYUK RESIM DEFTERİ 20YP ,26.31,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,258,2463.24
5955,22762,KAPTAN FELLINI,5.98,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,257,12196.04
15738,27089,,167.65,EV,TEKSTIL-GIYIM-AKSESUAR,CORAPLAR,BAYAN CORAP,PENTI,257,8489.45
3200,8521,,29.69,EV,TEKSTIL-GIYIM-AKSESUAR,CORAPLAR,BAYAN CORAP,PENTI,257,4394.94
17029,32474,CAILLOU BOYAMA KITABI-7,6.12,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,257,3511.47
17381,33116,KIRTA.MONOGOL RAYLI ABAKUS,28.91,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,257,3161.20
13209,14287,,2.87,EV,TEKSTIL-GIYIM-AKSESUAR,PIJAMA-GECELIK-ESOFMAN,PIJAMA,TUTKU,257,2967.64
17236,32907,CEO NOT DEFTERI,158.57,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,257,2419.92
13132,14134,FANTASIA 12 RENK T.B. KURU BOYA METAL KUTU ARTIST,23.98,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,256,66494.95
22288,21228,OKUL ÇANTASI MY SCENE 09409 HAKAN,14.12,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,256,41462.94
7255,13691,,213.43,KOZMETIK,SAC BAKIM,SAC SEKILLENDIRICILER,SPREY,TAFT,256,37840.95
14512,26479,,37.52,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,256,24565.83
1801,7830,KITAP RESIMLI KLASIKLER - OZ BUYUCUSU ,56.35,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,256,11094.64
10392,11323,"SERVE BOLD 0,7 VERSATIL KALEM",73.06,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,256,2960.13
21293,44131,,3.66,EV,TEKSTIL-GIYIM-AKSESUAR,CORAPLAR,BAYAN CORAP,MUJDE,256,1394.69
8006,7219,,125.11,EV,ELEKTRIK-ELEKTRONIK,ELEKTRONIK,ELEKTRONIK ALETLER,EVEREST,255,16540.66
18616,19786,,33.75,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,255,11888.64
19656,43398,,48.02,EV,ELEKTRIK-ELEKTRONIK,ELEKTRONIK,ELEKTRONIK ALETLER,SNOPY,255,11652.58
12100,5359,COLLEGE PP KAPAK OKUL DEFTERİ A4 100/1,11.68,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,255,6910.99
12879,26083,OYKULER-2 / YASON ,28.92,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,255,5779.19
20891,34363,120 YAPRAK SP.KARE P.P DEFTER,110.03,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,255,2686.06
5577,6270,,109.59,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,254,20092.06
5992,22816,GEZER ZENNE TERLİK GT6YZM.08847.00,35.28,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,254,18669.42
13618,23988,,13.02,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,254,15363.22
23017,44820,IDAM GORUSMELERI / PANAMA,138.78,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,254,12218.47
14084,29297,,61.73,EV,TEKSTIL-GIYIM-AKSESUAR,CAMASIRLAR,ERKEK CAMASIR,TUTKU,254,11676.72
5438,6076,,19.80,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,STREC FILM,COOK,254,10051.96
26478,42345,ENGELLERI ASANLAR,24.16,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,254,7966.11
12896,26100,MEVLANADAN ALTIN OGUTLER / CEP ,4.59,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,254,3905.54
5066,24904,KITAPCI PROMOSYON-2 ,20.90,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,254,2739.74
7068,13402,,3.75,KOZMETIK,AGIZ BAKIM,DIS MACUNLARI,MACUNLAR,COLGATE,253,18569.23
24869,36205,KITAP BANA SENI SEVIYORUM DEME SEV,968.91,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,253,16680.81
23965,35797,,124.13,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,253,13412.00
26426,42281,,124.60,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,,PASA BAHCE,253,10903.29
22627,35015,,42.53,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,253,10765.10
7918,7081,,25.88,KOZMETIK,YUZ BAKIM,TIRAS MALZEMELERI,KULLAN AT BICAKLAR,DERBY,253,10423.26
23333,39609,,80.98,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,253,9471.33
5714,22408,,29.36,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,BUZDOLABI POSETI,PIKNIK,253,5513.55
12384,21604,FIYAT ETIKET MAKINASI,5.90,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,253,5350.31
14432,26377,BUYUK GUZEL YAZI DEF.ELIT 50 YP.,101.08,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,253,5087.28
13980,29066,,7.24,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,PLASTIK TEPSI,PASA BAHCE,253,3547.85
8275,25660,KITAP ATATURK'UN TERORLE MUC.YONTEMI,19.29,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,252,13653.30
12508,21789,GUNE DUSULEN NOTLAR,30.65,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,252,6680.25
3553,9087,GIPTA MICA A5/60 YP KARELI.DEFTER ,76.86,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,252,6656.13
19433,43038,,67.28,EV,TEKSTIL-GIYIM-AKSESUAR,CORAPLAR,BAYAN CORAP,PENTI,252,6070.03
23502,39919,96 YAPRAK SP.CIZGI P.P DEFTER,135.42,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,252,5859.21
11720,12074,PELİGOM 20GR STICK YAPIŞTIRICI,26.47,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,252,4670.02
2714,8474,TÜRKÇE SÖZLÜK,4.49,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,252,4591.21
8505,25966,FABER KALEM SIVI DAKSIL*12,67.72,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,252,4509.95
12080,5321,,6.06,EV,KISISEL ILGI-EGLENCE,NALBURIYE-HIRDAVAT,EV GERECLERI,FLORA,252,4124.00
12550,21840,KITAP PARGALI IBRAHIM/CEP,22.61,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,252,3722.32
10242,11066,6 RENKLI TUKENMEZ KALEM,125.11,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,252,1728.57
26938,37800,RUBENIS KURSUN KALEM 12 LI,152.25,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,252,1630.37
20978,34487,,55.14,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,251,16623.82
26002,37085,MANDALINA VE UMUT,4.09,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,251,14694.89
5080,24918,,17.55,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,251,14071.17
3547,9068,,73.56,KOZMETIK,DUS-BANYO,SAMPUANLAR,KREMSIZ SAMPUANLAR,IPEK,251,10395.87
15922,27370,,58.95,EV,TEKSTIL-GIYIM-AKSESUAR,CORAPLAR,BAYAN CORAP,PENTI,251,6663.49
2865,14569,KIRTA.FANTASIA KIRMIZI KALEM,69.26,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,251,5343.36
1961,3187,,6.92,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,PLASTIK TABAK,PIKNIK,251,5326.37
8184,28809,EN GUZEL KARISIK FIKRALAR,10.77,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,251,4390.55
24017,35868,,34.50,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,251,2744.14
26723,37450,,321.58,EV,ELEKTRIK-ELEKTRONIK,ELEKTRONIK,ELEKTRONIK ALETLER,ARZUM,250,58569.61
8223,28861,,13.45,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,250,8749.88
26256,42010,AJAN KIZ-SICAK VE SOGUK,133.92,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,250,7973.16
13583,23933,TICON A5 72 YP KARELI DEFTER SPR. ,33.42,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,250,5935.05
26632,37330,GIPTA FINELINER 0.4 MM RENKLI KALEM,8.40,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,250,5481.81
19704,43474,,34.82,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,PLASTIK CEREZLIK VE KASELER,TITIZ,250,3608.22
13785,24296,MAX HIZLI YAPISTIRICI ,1.84,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,250,3227.13
23667,40199,ZARF SETI 2,33.24,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,250,2846.60
106,265,LETS SULUBOYA 8 RENK ,54.14,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,250,1366.40
17095,32597,PANTHER MAKET BIÇAGI B*L218 ,6.86,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,250,1364.21
19134,33697,MIKRO KALEM UCU SUPER ,21.45,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,250,1185.69
11871,12282,OKUL ÇANTASI HS7214,17.16,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,249,23868.00
15473,32150,,64.96,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,249,18412.70
23576,40054,,4.54,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,249,13913.87
23162,45008,DUSUN VE BASAR / YAKAMOZ ,29.58,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,249,8733.41
12114,5376,,51.69,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,249,8063.24
17280,32966,,39.57,EV,TEKSTIL-GIYIM-AKSESUAR,CORAPLAR,BAYAN CORAP,PENTI,249,7207.41
26697,37416,KIRTA.KOMEX 100/4 A5 LISE DEF.,9.40,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,249,3821.08
21054,43527,,65.38,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,PLASTIK TABAK,SAFIR,249,1781.08
14383,26306,,23.00,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,248,38099.32
14743,26884,,12.93,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,248,24055.14
15427,24779,GERCEKLE YUZLESME VAKTI 301,29.14,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,248,16528.79
19762,31033,ORGANIZER DEFTER PATLI,214.39,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,248,14847.23
12881,26085,ABDULHAMIDIN DERIN DEVLETI,56.06,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,248,12049.90
13454,23676,KIRTA.KOMEX 100/1 A4 METOD DEF.,5.91,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,248,8123.08
23122,44960,,6.41,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,STREC FILM,PAREX,248,7972.24
15406,24757,AKIL ESNETME,121.49,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,248,7049.78
5902,22673,YASİN ORTA BOY FİHRİSTLİ TÜRKÇELİ / MERVE,32.78,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,248,6251.67
9366,16209,,24.96,EV,TEKSTIL-GIYIM-AKSESUAR,CAMASIRLAR,ERKEK CAMASIR,JIBER,248,4407.89
24762,36064,,7.11,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,248,4088.34
8647,9793,,11.43,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,SOYUCU,PENGUEN,248,3562.37
25262,41130,,7.75,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,247,14411.28
7424,22936,,2.37,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,POSET,ERNET,247,14076.71
23513,39969,KITAP AKILLI BAGIRSAK ,29.48,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,247,12439.12
4757,17635,YAZI MUREKKEBI 4001 SIYAH,29.16,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,247,8111.21
26809,37604,,51.36,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,SUZGEC,BOBBY LIFE,247,7949.22
8153,28769,ARKADASCA KUCUK BIR TAVSIYE,9.42,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,247,7144.12
26378,42197,BUYUK NAMAZ HOCASI/ KALBI,66.08,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,247,6713.98
25900,36983,LEVENT PERILI EVDEN KACIS,41.01,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,247,5004.65
