Brand,Category1,TotalAmount,SoldQuantity
PARODONTAX,KOZMETIK,266829,2171
SNOPY,EV,252108,4062
BERRAK,EV,248088,12910
SILA,EV,247867,1318
APRILLA,EV,243821,1890
VOILA,KOZMETIK,238858,5202
EGOS,KOZMETIK,225699,2512
NATURAL,EV,218868,1891
KOR,EV,216829,2573
TOFITA,EV,206824,7826
ACTIVEX,KOZMETIK,197371,3038
LUX,EV,190869,8179
ROYAL,EV,185097,2485
VARTA,EV,184667,3965
DERBY,KOZMETIK,183788,6966
FUJIKA,EV,182706,7133
ADDISON,EV,181785,2324
AXE,KOZMETIK,169417,2240
PROTEX,KOZMETIK,165130,3720
MUJDE,EV,165015,15498
HARVEST,KOZMETIK,158246,2255
UDAG,EV,155199,2841
JAGLER,EV,153870,375
SHOW,KOZMETIK,151978,2461
FAX,KOZMETIK,150595,4245
TITIZ,EV,147316,5969
KOROPLAST,EV,144593,4940
BOBBY LIFE,EV,138015,3568
AKAT,KOZMETIK,133630,2885
EYUP SABRI,KOZMETIK,126596,1774
PANASONIC,EV,125985,2964
SAFIR,EV,125749,9113
AVEC,EV,124317,2601
SUN,EV,124003,6318
ETI,GIDA,119204,10742
REBUL ,KOZMETIK,117022,1378
KOMILI,KOZMETIK,115098,5280
KOZA,EV,114136,4479
SELIN,KOZMETIK,113067,1649
ELITE,EV,112445,2680
FLORMAR,KOZMETIK,112330,2700
BLENIOR,KOZMETIK,111680,1540
VEPA,KOZMETIK,110452,3020
FIRST,KOZMETIK,107180,627
NASCITA,KOZMETIK,107037,2527
UZUM,EV,106827,898
SIRIN,EV,105442,5041
IPEK,KOZMETIK,103839,3103
PAKTAS,EV,101935,4617
GLASSCO,EV,99563,6996
WILKINSON,KOZMETIK,96632,2015
VI-KO,EV,96072,2387
OYUNCAK,EV,92560,1289
ULKER,GIDA,90942,12490
RESTOREX,KOZMETIK,85465,1849
CARUB,EV,83131,1955
GULSOY,EV,82349,2085
VENUS,KOZMETIK,80772,1008
AVIEN,KOZMETIK,77432,6972
S-LINK,EV,71761,2165
UNI,KOZMETIK,71413,1020
TARIS,KOZMETIK,71268,705
PALMIYE,KOZMETIK,69473,3420
TERLIK,EV,66904,1636
CLEAR,EV,62310,826
REJOICE,KOZMETIK,61640,1844
BAYRAK,EV,57685,2234
GARNIER,KOZMETIK,57593,692
FLORA,EV,54299,2837
ZERDALI,KOZMETIK,52932,2753
SAFIR,KOZMETIK,46827,396
JOHNSON BABY,KOZMETIK,46079,668
PAMELA,EV,45650,2110
GONDOL,EV,45317,1082
GUMUS,EV,39510,1460
VENUS,EV,39490,988
LUX,KOZMETIK,38602,1535
DALIN,KOZMETIK,38412,876
SOLEN,SEKERLEME,36730,274
PIERRE CARDIN,EV,35174,1904
TEKFEN,EV,30504,3513
ALGIDA,SUT,29112,680
SAHIN,EV,27644,174
TILLO,EV,27530,1265
ESSE,EV,27295,1817
NERGIS,KAHVALTILIK,26610,52
NILDEN,KAHVALTILIK,25315,23
WEE,KOZMETIK,24654,740
CARPEX  ,EV,24627,354
PRIMA,BEBEK,23826,117
ERNET,EV,22679,870
PROXI,EV,22127,900
GUNES,EV,21449,2184
ULKER,SEKERLEME,20763,825
TOFITA,KOZMETIK,20297,573
APRILLA,KOZMETIK,19887,137
HAYAT,KOZMETIK,19573,513
KENT,SEKERLEME,19370,359
KRISTAL,EV,18517,1304
WEE,EV,17608,164
HOBBY,EV,17483,490
ULUDAG,EV,17020,471
BINGO,DETERJAN,15379,318
VILEDA,TEMIZLIK,15222,144
MILUPA,BEBEK,14542,127
GOLF,SUT,13513,367
AIR WICK,TEMIZLIK,13468,94
WEE,BEBEK,12163,178
CANBEBE,BEBEK,11877,87
PROXI,KOZMETIK,11427,202
ARIEL,DETERJAN,11090,82
BEBELAC,BEBEK,11058,114
ABC,DETERJAN,10768,126
NERGIS,GIDA,10710,242
HALK,GIDA,10700,1978
MARMARA BIRLIK,KAHVALTILIK,9981,104
ELIT,SEKERLEME,9854,132
PIKNIK,KOZMETIK,9629,824
AYTAC,ET,9536,106
PAREX,TEMIZLIK,9352,159
LIPTON,CAY-KAHVE-SEKER,9350,126
NEFISO,GIDA,9322,129
SLEEPY,BEBEK,9107,63
FAIRY,DETERJAN,8896,85
PINAR,EV,8808,131
KARLIDAG,KAHVALTILIK,8732,95
KAYISI,KOZMETIK,8677,249
FIRST,EV,8556,635
YUDUM,GIDA,8423,58
SEBAMED,BEBEK,8380,27
FINISH,DETERJAN,8356,60
MOLFIX,BEBEK,8184,50
KOMILI,GIDA,8131,38
KOSKA,KAHVALTILIK,7966,134
KARDA,SUT,7937,162
ICIM,KAHVALTILIK,7689,180
ALO,DETERJAN,7600,59
PRIL,DETERJAN,7152,97
PINAR,KAHVALTILIK,7085,213
VERNEL,DETERJAN,6933,110
SARF,SARF,6911,289
BEYBI,EV,6891,369
PERSIL,DETERJAN,6876,56
KOZA,KOZMETIK,6797,153
CANPED,KAGIT,6774,50
ORKIDE,GIDA,6723,54
KARO,KARO,6602,44
BIZIM,GIDA,6569,186
ORUCOGLU,GIDA,6479,58
DOGUS,CAY-KAHVE-SEKER,6143,97
OMO,DETERJAN,6059,51
DURU,GIDA,5962,114
CIF,DETERJAN,5956,122
TARIS,GIDA,5777,24
BEYPILIC,KUMES,5646,75
DROETKER,GIDA,5525,204
JACOBS,SICAK ICECEKLER,5390,80
TORUNOGLU,KAHVALTILIK,5390,50
HUGGIES,OYUNCAK,5371,15
IGLO,GIDA,5317,90
KRISTAL,KOZMETIK,5186,124
TITIZ,TEMIZLIK,5063,139
HUGGIES,BEBEK,5016,41
PINAR,ET,4963,93
YAYLA,GIDA,4907,44
CALGONIT,DETERJAN,4797,44
FAY,KOZMETIK,4785,186
CAYKUR,CAY-KAHVE-SEKER,4685,51
HERO,BEBEK,4622,159
SUPER FREHS,GIDA,4537,95
NESTLE,KAHVALTILIK,4462,75
JOHNSON BABY,BEBEK,4429,56
ETI,SEKERLEME,4363,239
KOSLA,DETERJAN,4256,41
TURSIL,DETERJAN,4230,48
BALPARMAK,KAHVALTILIK,4198,31
ONCU,GIDA,4186,35
HES,DETERJAN,4173,37
ELIT,EV,4096,192
TAMEK,GIDA,4069,113
FINISH,EV,3967,156
RINSO,DETERJAN,3945,46
BANVIT,KUMES,3919,61
SUTAS,KAHVALTILIK,3846,84
PEROS,EV,3783,187
FLORA,KOZMETIK,3771,110
OLCA,GIDA,3718,34
RAID,TEMIZLIK,3682,56
TAT,GIDA,3638,99
NERGIS,ET,3606,32
MARET,ET,3562,73
UNO,GIDA,3558,103
FEBREZE,TEMIZLIK,3555,42
DOGADAN,CAY-KAHVE-SEKER,3547,130
PROXI,DETERJAN,3370,71
TADIM,GIDA,3276,72
MOLPED,KAGIT,3210,112
BULUT,SEKERLEME,3181,50
BANAT,TEMIZLIK,3177,80
PAKMAYA,GIDA,3162,157
BAMBINO,BEBEK,3140,50
FAMILIA,KAGIT,3133,30
BAGDAT,GIDA,3130,114
MARLBORO,SIGARALAR,3112,41
GULSAN,KAHVALTILIK,3112,37
SELPAK,KAGIT,3091,25
PINAR,GIDA,3040,55
YUMOS,DETERJAN,2893,36
PEROS,DETERJAN,2861,51
BERRAK,KAGIT,2847,44
KOMILI,KAGIT,2836,36
CELEBI,GIDA,2816,34
EKICI,KAHVALTILIK,2784,30
BAMBINO,KOZMETIK,2781,188
PEYMAN,GIDA,2779,64
SARELLE,KAHVALTILIK,2775,33
CARPEX,TEMIZLIK,2691,88
NAMET,ET,2686,45
BREF,TEMIZLIK,2683,67
DALIN,BEBEK,2669,45
PAPIA,KAGIT,2663,41
ULKER,KAHVALTILIK,2614,113
EVY BABY,BEBEK,2567,26
FIRST,SEKERLEME,2537,110
ACE,DETERJAN,2537,60
TAMEK,SOGUK ICECEKLER,2441,70
SOLO,KAGIT,2425,38
KNORR,GIDA,2419,117
FLORA,TEMIZLIK,2374,74
GLADE,TEMIZLIK,2365,35
IPEK,EV,2364,159
KENTON,GIDA,2350,148
SAHIN,ET,2346,19
PENGUEN,KAHVALTILIK,2294,45
SOSERO,KAHVALTILIK,2272,39
MAYLO,KAGIT,2222,21
MURATBEY,KAHVALTILIK,2217,27
SIRMA,GIDA,2187,19
MUDURNU,KUMES,2186,52
WINSTON,SIGARALAR,2131,26
ERPILIC,KUMES,2119,20
OFCAY,CAY-KAHVE-SEKER,2107,38
PRONTO,DETERJAN,2081,29
NESCAFE,SICAK ICECEKLER,2076,59
PORCOZ,DETERJAN,2032,52
TUTKU,BEBEK,1995,107
YONCA,GIDA,1988,25
TORKU,KAHVALTILIK,1975,71
PRINGLES,GIDA,1938,50
VIVIDENT,SEKERLEME,1912,80
ERNET,TEMIZLIK,1905,79
MEVSIM,GIDA,1882,39
CALVE,GIDA,1847,43
CARTE D OR,GIDA,1837,81
HARIBO,SEKERLEME,1770,65
KOSLA,TEMIZLIK,1770,12
OFIS,SEKERLEME,1740,40
BOBBY LIFE,TEMIZLIK,1705,62
CALGON,DETERJAN,1700,20
DARDANEL,BALIK,1693,19
SC BRITE,TEMIZLIK,1677,41
FILIZ,GIDA,1652,63
FORA,KAHVALTILIK,1634,41
KENT,SIGARALAR,1624,18
TILLO,TEMIZLIK,1609,66
DANONE,SUT,1582,96
KRISTAL,GIDA,1571,17
SIRMA,KAHVALTILIK,1567,3
KARALI,KAHVALTILIK,1546,13
PINAR,SOGUK ICECEKLER,1535,115
NESTLE,SEKERLEME,1499,71
BARILLA,GIDA,1470,26
YORSAN,KAHVALTILIK,1464,29
KARALI,CAY-KAHVE-SEKER,1449,5
MONTE CARLO,SIGARALAR,1447,27
NESTLE,CAY-KAHVE-SEKER,1426,23
TOYBOX,SEKERLEME,1351,78
LARK,SIGARALAR,1327,29
TEKEL,SIGARALAR,1321,20
PATOS,GIDA,1316,102
SEK,KAHVALTILIK,1294,58
KOMILI,BEBEK,1270,10
MILKA,SEKERLEME,1256,73
TORKU,SEKERLEME,1244,79
SELVA,GIDA,1232,44
BIFA,SEKERLEME,1230,34
ELMA,MEYVE,1228,82
YONCA,KAHVALTILIK,1203,21
TORKU,GIDA,1200,78
BIBER,SEBZE,1192,70
KORPE,ET,1170,27
TAMEK,KAHVALTILIK,1165,49
CAMEL,SIGARALAR,1161,19
UZUM,MEYVE,1146,32
BEYPILIC,KAHVALTILIK,1143,23
ANAVARZA,KAHVALTILIK,1143,14
SUPER FREHS,BALIK,1132,22
OMUR,GIDA,1128,52
UNI,KAGIT,1125,47
ULUDAG,SOGUK ICECEKLER,1113,67
DOGANAY,SOGUK ICECEKLER,1109,49
KENT,KAHVALTILIK,1103,13
TORKU,ET,1076,14
BANVIT,ET,1072,25
ULKER,SUT,1055,46
CAPPY,SOGUK ICECEKLER,1044,59
SOGAN,SEBZE,1041,38
PENTI,BEBEK,1037,42
OBA,CAY-KAHVE-SEKER,1037,24
MARC,DETERJAN,1018,30
COCA,SOGUK ICECEKLER,1014,65
TADELLE,SEKERLEME,1001,24
TIMUR,KAHVALTILIK,996,20
DANONE,KAHVALTILIK,994,53
ICIM,SOGUK ICECEKLER,979,43
PRIMA,KAGIT,977,10
SHAZILI,SICAK ICECEKLER,952,34
ARMUT,MEYVE,919,46
DOMESTOS,DETERJAN,906,28
MILUPA,CAY-KAHVE-SEKER,878,7
SAGRA,SEKERLEME,876,37
DALIN,KAGIT,800,12
LIPTON,SOGUK ICECEKLER,788,45
MUTLU,GIDA,786,22
DETAN,TEMIZLIK,781,10
ERIK,GIDA,776,9
SAHIN,GIDA,766,6
TUKAS,GIDA,730,24
KENT,SICAK ICECEKLER,721,14
BORA,TEMIZLIK,701,24
DIMES,SOGUK ICECEKLER,681,38
SLEEPY,KAGIT,675,29
PEPSI,SOGUK ICECEKLER,669,35
DOGANAY,GIDA,664,8
BAGDAT,CAY-KAHVE-SEKER,661,21
ETI,KAHVALTILIK,659,30
PATLICAN,SEBZE,658,45
DIDI,SOGUK ICECEKLER,648,54
BANVIT,GIDA,644,20
PATATES,SEBZE,622,27
UZAY,GIDA,618,78
FRITOLAY,GIDA,610,34
ICIM,SUT,609,39
ERNET,DETERJAN,600,9
PALMIYE,CAY-KAHVE-SEKER,587,37
FAY,DETERJAN,586,20
FRESH N SOFT,KAGIT,583,32
KENT,GIDA,582,41
PASA BAHCE,TEMIZLIK,580,33
DOMATES,SEBZE,577,46
UMIT,SEKERLEME,576,16
KARO,MUHTELIF,567,33
ETI,BEBEK,563,12
KENT,SOGUK ICECEKLER,562,36
GURME,ET,562,9
MENTOS,SEKERLEME,559,27
TROPICANA,SOGUK ICECEKLER,558,22
CIF,TEMIZLIK,535,22
KURU MEYVE SEBZE,SEBZE,528,27
TEKINAY,SOGUK ICECEKLER,515,19
UNTAD,GIDA,501,32
PORTAKAL,MEYVE,497,44
DOMESTOS,TEMIZLIK,493,16
NAZO,SOGUK ICECEKLER,492,26
BEYPILIC,GIDA,487,8
AYTAC,KAHVALTILIK,476,11
ACTIVEX,KAGIT,470,14
BIFA,GIDA,468,56
UNI,DETERJAN,466,7
SEK,SOGUK ICECEKLER,456,46
FIRST,BEBEK,454,35
FALIM,SEKERLEME,453,54
ELMA,GIDA,449,5
GURME,GIDA,448,7
MRMUSCLE,DETERJAN,447,24
FUJIKA,TEMIZLIK,445,21
ERPILIC,ET,435,8
SEK,SUT,434,21
SOLEN,GIDA,430,66
ZENGIBAR,GIDA,423,28
VICEROY,SIGARALAR,419,9
CIPSO,GIDA,409,34
PIKNIK,TEMIZLIK,407,23
ULKER,BEBEK,400,11
PROXI,TEMIZLIK,398,17
ARBELLA,GIDA,382,39
MEYSU,SOGUK ICECEKLER,370,28
PENGUEN,GIDA,366,18
GONDOL,TEMIZLIK,360,11
FERSAN,SOGUK ICECEKLER,354,26
SOLEN,KAHVALTILIK,349,17
HALK,SEKERLEME,347,28
SUN,TEMIZLIK,337,25
PAKTAS,BEBEK,333,17
CAMLICA,SOGUK ICECEKLER,329,38
CANBEBE,KAGIT,328,14
JIBER,BEBEK,324,14
KRAL,GIDA,322,15
HATAY,KAHVALTILIK,322,2
ANKARA,GIDA,316,12
COSBY,SEKERLEME,316,11
ERIK,MEYVE,293,18
KAYISI,SEKERLEME,292,8
KINDER,SEKERLEME,289,3
SIRIN,BEBEK,274,24
HAKKATAPAN,KAHVALTILIK,262,5
DOGUS,SOGUK ICECEKLER,259,22
ULKER,SICAK ICECEKLER,254,49
BREF,DETERJAN,251,11
BERRAK,BEBEK,250,34
YEDIGUN,SOGUK ICECEKLER,245,9
DAREN,SOGUK ICECEKLER,241,35
KOZA,SOGUK ICECEKLER,240,21
NESTLE,SICAK ICECEKLER,237,18
KRAL,SEKERLEME,228,13
MUDURNU,GIDA,228,6
BREF,MUHTELIF,226,7
BIZIM,KAHVALTILIK,224,9
MAGGI,GIDA,220,33
HALK,BEBEK,218,8
NIVEA,BEBEK,217,1
UMIT,KAHVALTILIK,214,8
BEBETO,SEKERLEME,212,22
SUTAS,SUT,207,26
HALK,BALIK,206,8
PAKMAYA,CAY-KAHVE-SEKER,199,7
BEYBI,TEMIZLIK,198,16
BAMBINO,KAGIT,192,10
TOFITA,TEMIZLIK,186,12
TORKU,CAY-KAHVE-SEKER,185,6
SILA,GIDA,184,5
SOGAN,YESILLIK,181,6
ULKER,SOGUK ICECEKLER,176,31
MANDALINA,MEYVE,175,18
DALIN,DETERJAN,166,5
FRITOLAY,SEKERLEME,163,32
OBA,GIDA,159,24
KOSKA,GIDA,157,7
CEREZOS,GIDA,155,41
SEK,SICAK ICECEKLER,155,6
MABEL,SEKERLEME,154,1
KENTON,SICAK ICECEKLER,151,15
GULSAN,GIDA,148,5
SAFIR,DETERJAN,148,5
DROETKER,SICAK ICECEKLER,147,16
LUX,TEMIZLIK,147,9
HAYAT,SOGUK ICECEKLER,142,22
SIRMA,SOGUK ICECEKLER,142,22
KOSKA,SEKERLEME,142,8
KARLIDAG,SOGUK ICECEKLER,140,6
NESCAFE,SOGUK ICECEKLER,140,6
GUMUS,BEBEK,138,12
MAROL,YESILLIK,130,11
FRESA,SOGUK ICECEKLER,128,20
FRESH N SOFT,BEBEK,124,2
GOLF,SEKERLEME,122,7
FERSAN,GIDA,120,6
TEKINAY,GIDA,119,6
PINAR,BALIK,119,4
DANONE,SOGUK ICECEKLER,114,17
MILUPA,SOGUK ICECEKLER,113,13
KAYISI,MEYVE,113,7
AYTAC,SOGUK ICECEKLER,112,16
PEROS,TEMIZLIK,112,2
TURP,YESILLIK,110,11
IPEK,GIDA,108,6
NESTLE,GIDA,106,9
SARAY,GIDA,101,11
KOZA,SICAK ICECEKLER,100,6
KOZA,BEBEK,98,8
TAT,BALIK,98,3
FANTA,SOGUK ICECEKLER,97,8
DIMES,KAHVALTILIK,88,15
SARAY,KAHVALTILIK,87,11
PINAR,SUT,85,6
FLORA,DETERJAN,82,4
SAFIR,GIDA,81,6
HERO,KAHVALTILIK,77,4
UMIT,GIDA,77,3
BIG BABOL,SEKERLEME,75,26
ORKIDE,KAHVALTILIK,70,5
KIZILAY,SOGUK ICECEKLER,68,11
NERGIS,SEKERLEME,65,5
ALCAN,KAHVALTILIK,55,5
MOLFIX,KAGIT,47,4
BIFA,KAHVALTILIK,46,6
KENT,CAY-KAHVE-SEKER,45,2
HALK,KAHVALTILIK,44,9
UZAY,SEKERLEME,42,7
TORKU,SOGUK ICECEKLER,42,3
YAYLA,KAHVALTILIK,37,5
ALCAN,GIDA,37,2
EVY BABY,KAGIT,36,2
KINDER,SUT,34,5
ALCAN,SEKERLEME,34,2
NESTLE,SOGUK ICECEKLER,33,8
TILLO,DETERJAN,29,4
KAYISI,SOGUK ICECEKLER,24,7
ANKARA,SOGUK ICECEKLER,18,9
MEVSIM,SOGUK ICECEKLER,13,6
SUTAS,SOGUK ICECEKLER,13,4
SALATALIK,SEBZE,12,2
HALK,SOGUK ICECEKLER,11,6
ICIM,GIDA,9,3
PIERRE CARDIN,BEBEK,9,1
