Date,Month,Year,Total
9,5,2022,131097.58
10,5,2022,109916.26
11,5,2022,116810.70
12,5,2022,108325.07
13,5,2022,110765.12
14,5,2022,115496.78
15,5,2022,100148.92
16,5,2022,140557.09
17,5,2022,117535.08
18,5,2022,119318.85
19,5,2022,116977.43
20,5,2022,117955.44
21,5,2022,104855.56
22,5,2022,122836.16
23,5,2022,126837.68
24,5,2022,136605.26
25,5,2022,136378.36
26,5,2022,133817.97
27,5,2022,127211.13
28,5,2022,135984.85
29,5,2022,106154.37
30,5,2022,104537.92
31,5,2022,121600.99
1,6,2022,122239.48
2,6,2022,127497.88
3,6,2022,105535.33
4,6,2022,126026.69
5,6,2022,97568.57
6,6,2022,106928.96
7,6,2022,125408.64
8,6,2022,140377.43
9,6,2022,142017.26
10,6,2022,100244.17
11,6,2022,118930.77
12,6,2022,115717.10
13,6,2022,115092.46
14,6,2022,120420.15
15,6,2022,133485.85
16,6,2022,137244.04
17,6,2022,106284.29
18,6,2022,106563.86
19,6,2022,113252.16
20,6,2022,113218.92
21,6,2022,138674.69
22,6,2022,114723.91
23,6,2022,112037.05
24,6,2022,122204.64
25,6,2022,127228.59
26,6,2022,130640.71
27,6,2022,128150.09
28,6,2022,98832.62
29,6,2022,130471.81
30,6,2022,150126.53
1,7,2022,126699.27
2,7,2022,125241.13
3,7,2022,129535.19
4,7,2022,151988.00
5,7,2022,136698.85
6,7,2022,116379.29
7,7,2022,122183.29
8,7,2022,103972.81
9,7,2022,133761.68
10,7,2022,119868.16
11,7,2022,135057.85
12,7,2022,110225.83
13,7,2022,141903.37
14,7,2022,123594.94
15,7,2022,140209.43
16,7,2022,112539.16
17,7,2022,124473.63
18,7,2022,148677.17
19,7,2022,103412.71
20,7,2022,147615.84
21,7,2022,128618.76
22,7,2022,136406.77
23,7,2022,108867.53
24,7,2022,115591.00
25,7,2022,116502.62
26,7,2022,149909.93
27,7,2022,128906.00
28,7,2022,126277.38
29,7,2022,130550.85
30,7,2022,102561.32
31,7,2022,111969.87
1,8,2022,134196.70
2,8,2022,112376.06
3,8,2022,138968.11
4,8,2022,117709.07
5,8,2022,137076.45
6,8,2022,130159.28
7,8,2022,134135.34
8,8,2022,126160.51
9,8,2022,123559.28
10,8,2022,122937.39
11,8,2022,150828.42
12,8,2022,110700.27
13,8,2022,116501.47
14,8,2022,117565.24
15,8,2022,124509.98
16,8,2022,143215.96
17,8,2022,116403.00
18,8,2022,165371.68
19,8,2022,130090.13
20,8,2022,116136.16
21,8,2022,120966.11
22,8,2022,122036.01
23,8,2022,113838.69
24,8,2022,101204.95
25,8,2022,125735.41
26,8,2022,157699.40
27,8,2022,121257.50
28,8,2022,123827.88
29,8,2022,136081.94
30,8,2022,133617.84
31,8,2022,96641.56
1,9,2022,122024.80
2,9,2022,121355.85
3,9,2022,114126.03
4,9,2022,117674.24
5,9,2022,124611.74
6,9,2022,117759.24
7,9,2022,123924.71
8,9,2022,127416.71
9,9,2022,136624.81
10,9,2022,134982.26
11,9,2022,125650.82
12,9,2022,146625.93
13,9,2022,132760.28
14,9,2022,136621.73
15,9,2022,119686.85
16,9,2022,171581.42
17,9,2022,119579.33
18,9,2022,126577.62
19,9,2022,140324.86
20,9,2022,132476.48
21,9,2022,157144.49
22,9,2022,120603.15
23,9,2022,128327.58
24,9,2022,152158.99
25,9,2022,144021.26
26,9,2022,133457.22
27,9,2022,119039.66
28,9,2022,149606.23
29,9,2022,129066.90
30,9,2022,131159.11
1,10,2022,120165.30
2,10,2022,128050.46
3,10,2022,122007.28
4,10,2022,116873.89
5,10,2022,136177.59
6,10,2022,179794.97
7,10,2022,147245.16
8,10,2022,131482.77
9,10,2022,114428.45
10,10,2022,137154.21
11,10,2022,125069.27
12,10,2022,144809.61
13,10,2022,127297.53
14,10,2022,166037.75
15,10,2022,138009.60
16,10,2022,116405.90
17,10,2022,120351.76
18,10,2022,139531.20
19,10,2022,101661.21
20,10,2022,96354.60
21,10,2022,115256.65
22,10,2022,147841.45
23,10,2022,138268.75
24,10,2022,135526.45
25,10,2022,133763.51
26,10,2022,122668.84
27,10,2022,142944.47
28,10,2022,136530.58
29,10,2022,116202.14
30,10,2022,115123.69
31,10,2022,151095.96
1,11,2022,121034.26
2,11,2022,129952.95
3,11,2022,165221.74
4,11,2022,145301.32
5,11,2022,146573.39
6,11,2022,112115.64
7,11,2022,152256.48
8,11,2022,139237.76
9,11,2022,139717.19
10,11,2022,133049.79
11,11,2022,135021.98
12,11,2022,156287.12
13,11,2022,152994.17
14,11,2022,140739.37
15,11,2022,138725.22
16,11,2022,155623.57
17,11,2022,129461.08
18,11,2022,142277.17
19,11,2022,163364.79
20,11,2022,136722.63
21,11,2022,141562.19
22,11,2022,151817.13
23,11,2022,122516.04
24,11,2022,110812.62
25,11,2022,166865.78
26,11,2022,112112.35
27,11,2022,125869.45
28,11,2022,131224.61
29,11,2022,143689.32
30,11,2022,146322.61
1,12,2022,140274.53
2,12,2022,126132.75
3,12,2022,118324.00
4,12,2022,126079.46
5,12,2022,139239.46
6,12,2022,126873.03
7,12,2022,142042.05
8,12,2022,119702.52
9,12,2022,119911.98
10,12,2022,147732.95
11,12,2022,118295.13
12,12,2022,136981.58
13,12,2022,135260.93
14,12,2022,171005.56
15,12,2022,154341.07
16,12,2022,138311.29
17,12,2022,125465.69
18,12,2022,155460.75
19,12,2022,139936.46
20,12,2022,140602.55
21,12,2022,169207.04
22,12,2022,125386.97
23,12,2022,130398.27
24,12,2022,150835.82
25,12,2022,152108.17
26,12,2022,142616.32
27,12,2022,153538.85
28,12,2022,169403.68
29,12,2022,148582.18
30,12,2022,138576.23
31,12,2022,127541.20
1,1,2023,124615.67
2,1,2023,120308.01
3,1,2023,151023.20
4,1,2023,133222.09
5,1,2023,123697.60
6,1,2023,124993.74
7,1,2023,134031.89
8,1,2023,102964.67
9,1,2023,172483.86
10,1,2023,117005.18
11,1,2023,125943.86
12,1,2023,125586.53
13,1,2023,119516.26
14,1,2023,130907.33
15,1,2023,141755.39
16,1,2023,127608.27
17,1,2023,131000.00
18,1,2023,137022.73
19,1,2023,116695.84
20,1,2023,118818.67
21,1,2023,108281.55
22,1,2023,118015.35
23,1,2023,102683.31
24,1,2023,129373.02
25,1,2023,161212.34
26,1,2023,126508.57
27,1,2023,104812.77
28,1,2023,128814.93
29,1,2023,116743.31
30,1,2023,124895.31
31,1,2023,126853.90
1,2,2023,107461.98
2,2,2023,160292.84
3,2,2023,126489.86
4,2,2023,142705.22
5,2,2023,141771.96
6,2,2023,118476.70
7,2,2023,121750.07
8,2,2023,154156.83
9,2,2023,131959.38
10,2,2023,161077.93
11,2,2023,135535.40
12,2,2023,109645.89
13,2,2023,114580.29
14,2,2023,142697.04
15,2,2023,160490.87
16,2,2023,111032.73
17,2,2023,142258.03
18,2,2023,125255.52
19,2,2023,150988.33
20,2,2023,143425.43
21,2,2023,163497.32
22,2,2023,142946.40
23,2,2023,129853.31
24,2,2023,123216.19
25,2,2023,116013.14
26,2,2023,118142.92
27,2,2023,130552.10
28,2,2023,122638.64
1,3,2023,156736.77
2,3,2023,119611.48
3,3,2023,148467.98
4,3,2023,110756.82
5,3,2023,127222.55
6,3,2023,134269.82
7,3,2023,140600.52
8,3,2023,146763.87
9,3,2023,108892.45
10,3,2023,139902.41
11,3,2023,128149.08
12,3,2023,139743.59
13,3,2023,116566.83
14,3,2023,153196.67
15,3,2023,153782.39
16,3,2023,116673.76
17,3,2023,142386.53
18,3,2023,130990.38
19,3,2023,124856.64
20,3,2023,137566.69
21,3,2023,136016.07
22,3,2023,174641.00
23,3,2023,124413.08
24,3,2023,142504.89
25,3,2023,136053.65
26,3,2023,141253.92
27,3,2023,127459.35
28,3,2023,146625.40
29,3,2023,158750.74
30,3,2023,132169.73
31,3,2023,135765.54
1,4,2023,120636.13
2,4,2023,129945.57
3,4,2023,118506.06
4,4,2023,140906.78
5,4,2023,140409.05
6,4,2023,137367.69
7,4,2023,118819.39
8,4,2023,128381.02
9,4,2023,129553.92
10,4,2023,126345.06
11,4,2023,151182.06
12,4,2023,125123.27
13,4,2023,133191.63
14,4,2023,150470.25
15,4,2023,127076.67
16,4,2023,125231.38
17,4,2023,132847.18
18,4,2023,134200.43
19,4,2023,135913.35
20,4,2023,141118.25
21,4,2023,129580.46
22,4,2023,144041.68
23,4,2023,147110.31
24,4,2023,121632.73
25,4,2023,128665.86
26,4,2023,133496.83
27,4,2023,161383.69
28,4,2023,135239.22
29,4,2023,149433.89
30,4,2023,141797.31
1,5,2023,122108.21
2,5,2023,130779.92
3,5,2023,151639.35
4,5,2023,128299.50
5,5,2023,135125.55
6,5,2023,159675.73
7,5,2023,133326.66
8,5,2023,142036.20
9,5,2023,112526.32
10,5,2023,134528.59
11,5,2023,151257.36
12,5,2023,148275.94
13,5,2023,128004.40
14,5,2023,139235.59
15,5,2023,120102.24
16,5,2023,125133.89
17,5,2023,168548.24
18,5,2023,141117.10
19,5,2023,125388.61
20,5,2023,119932.35
21,5,2023,157399.38
22,5,2023,141023.09
23,5,2023,135801.25
24,5,2023,140413.61
25,5,2023,148386.67
26,5,2023,125626.83
27,5,2023,115794.09
28,5,2023,144706.95
29,5,2023,133123.88
30,5,2023,122131.25
31,5,2023,129417.11
1,6,2023,145834.21
2,6,2023,134930.71
3,6,2023,135143.09
4,6,2023,121297.63
5,6,2023,184669.02
6,6,2023,131932.24
7,6,2023,117674.43
8,6,2023,161451.06
9,6,2023,150438.45
10,6,2023,141650.78
11,6,2023,131409.14
12,6,2023,147414.83
13,6,2023,161135.36
14,6,2023,142806.20
15,6,2023,152994.93
16,6,2023,139108.42
17,6,2023,135619.25
18,6,2023,160987.62
19,6,2023,136870.03
20,6,2023,142212.42
21,6,2023,195581.31
22,6,2023,101657.74
23,6,2023,134931.35
24,6,2023,121211.92
25,6,2023,167137.42
26,6,2023,120233.39
27,6,2023,129227.23
28,6,2023,161433.81
29,6,2023,155194.42
30,6,2023,200453.41
1,7,2023,150821.13
2,7,2023,116974.03
3,7,2023,133511.47
4,7,2023,122470.35
5,7,2023,130275.78
6,7,2023,164706.96
7,7,2023,141177.15
8,7,2023,118431.46
9,7,2023,133181.65
10,7,2023,152122.51
11,7,2023,102657.75
12,7,2023,143780.59
13,7,2023,132778.85
14,7,2023,150016.41
15,7,2023,143047.56
16,7,2023,138743.10
17,7,2023,120605.80
18,7,2023,146699.29
19,7,2023,99491.50
20,7,2023,135371.82
21,7,2023,132467.77
22,7,2023,136447.86
23,7,2023,155163.48
24,7,2023,109238.41
25,7,2023,134341.20
26,7,2023,129665.16
27,7,2023,128864.47
28,7,2023,138119.20
29,7,2023,134803.22
30,7,2023,102528.22
31,7,2023,125947.03
1,8,2023,115687.90
2,8,2023,107267.60
3,8,2023,143880.32
4,8,2023,129295.21
5,8,2023,129690.24
6,8,2023,131269.09
7,8,2023,141939.50
8,8,2023,115702.23
9,8,2023,152176.41
10,8,2023,135588.08
11,8,2023,122097.28
12,8,2023,127730.75
13,8,2023,129458.27
14,8,2023,119913.25
