Itemname,Brand,Category1,Category2,Category3,Category4,Price,SoldQuantity,TotalAmount
ABC SIVI KREM 750 ML Y.NESİL BAHAR*20*,ABC,DETERJAN,EV TEMIZLEYICILER,YUZEY TEMIZLEYICILER,SIVI,21.59,2,43.18
ABC SIVI KREM LIM+AMON. 750+750 ML*10*,ABC,DETERJAN,EV TEMIZLEYICILER,MUTFAK VE BANYO TEMIZLEYICI,KREM,53.56,8,428.48
"ABC SIVI SABUN 3,5 LT GUL BUKETI *6*",ABC,DETERJAN,ELDE YIKAMA URUNLERI,SIVI DETERJAN,SIVI,21.81,9,399.77
ABC YOGUN C.SUYU 4000 GR  HIJYEN  ASKI*4*,ABC,DETERJAN,CAMASIR YIKAMA,CAMASIR SULARI,ULTRA,54.16,4,216.64
ABC YOGUN C.SUYU 4000 GR BEMBEYAZ *4*,ABC,DETERJAN,CAMASIR YIKAMA,CAMASIR SULARI,ULTRA,61.51,10,571.10
"ABC YUZEY TEM. 2,5 LT CICEK BAH. *8*",ABC,DETERJAN,EV TEMIZLEYICILER,YUZEY TEMIZLEYICILER,SIVI,32.75,2,65.50
"ABC YUZEY TEM. 2,5 LT OKYANUS ES. *8*",ABC,DETERJAN,EV TEMIZLEYICILER,YUZEY TEMIZLEYICILER,SIVI,29.60,7,207.20
"ABC YUZEY TEM. 2,5 LT ORKIDE BUYUSU *8*",ABC,DETERJAN,EV TEMIZLEYICILER,YUZEY TEMIZLEYICILER,SIVI,61.00,2,122.00
ABDEST GUSUL NAMAZ REHBERI / CIHAN,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,100.16,216,4989.70
ABDEST GUSUL NAMAZ REHBERI CEP BOY ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,40.89,157,1537.79
ABDULHAMIDIN DERIN DEVLETI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,56.06,248,12049.90
ABDULHAMIT HAN VE LIDERLIK SIRLARI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,90.95,208,9299.94
ACAYIP BOCEGIN LANETI ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,25.51,170,3691.69
ACE C.SUYU 1000 GR CENTILE *10*,ACE,DETERJAN,CAMASIR YIKAMA,CAMASIR SULARI,KLASIK,3.65,2,7.30
ACE C.SUYU 2 LT LAVANTA *10*,ACE,DETERJAN,CAMASIR YIKAMA,CAMASIR SULARI,KLASIK,26.48,4,105.92
ACE C.SUYU 2 LT NORMAL *10*,ACE,DETERJAN,CAMASIR YIKAMA,CAMASIR SULARI,KLASIK,45.36,7,317.52
ACE C.SUYU 4 LT  BAHAR *4*,ACE,DETERJAN,CAMASIR YIKAMA,CAMASIR SULARI,KLASIK,49.80,8,398.40
ACE KONS.MATIK 6 KG BAHAR KOKULU *3*,ACE,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,94.00,8,752.00
ACE KONS.MATIK 6 KG SIHIRLI RENKLER *3*,ACE,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,RENKLILER,66.31,8,530.48
ACE ULTRA C.SUYU 3 KG FERAHLIK ETKISI *4*,ACE,DETERJAN,CAMASIR YIKAMA,CAMASIR SULARI,ULTRA,46.35,5,231.75
ACE ULTRA POWER JEL 750 ML CICEK KOK.*12*,ACE,DETERJAN,CAMASIR YIKAMA,CAMASIR SULARI,ULTRA,11.02,6,66.12
ACE ULTRA POWER JEL 750 ML LIMON BAH.*12*,ACE,DETERJAN,CAMASIR YIKAMA,CAMASIR SULARI,ULTRA,17.06,6,102.36
ACI CEKEN NEFES,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,28.30,159,4033.67
ACIMASIZ / OLIMPOS,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,67.72,162,11119.95
ACTIVEX DUS JELI 250 ML BEN10*12*,ACTIVEX,KOZMETIK,DUS-BANYO,VUCUT SAMPUANLARI,DUS JELI,16.58,5,82.90
ACTIVEX ISLAK HVL AKTIF 3'LU CEP *12*,ACTIVEX,KAGIT,ISLAK MENDIL-HAVLULAR,ISLAK HAVLU,BEYAZ,31.50,8,252.00
ACTIVEX ISLAK HVL HASSAS 3'LU CEP *12*,ACTIVEX,KAGIT,ISLAK MENDIL-HAVLULAR,ISLAK HAVLU,BEYAZ,36.47,6,218.82
ACTIVEX S.SABUN 1 LT HASSAS *9*,ACTIVEX,KOZMETIK,DUS-BANYO,SIVI-JEL SABUNLAR,SIVI,27.61,8,220.88
"ACTIVEX S.SABUN 1,5 L DOGAL *8*",ACTIVEX,KOZMETIK,DUS-BANYO,SIVI-JEL SABUNLAR,SIVI,128.05,10,1157.16
"ACTIVEX S.SABUN 1,8 LT+700 ML DOGAL *8*",ACTIVEX,KOZMETIK,DUS-BANYO,SIVI-JEL SABUNLAR,SIVI,64.72,6,388.32
ACTIVEX S.SABUN 300 ML. ACTIF KOR*12*,ACTIVEX,KOZMETIK,DUS-BANYO,SIVI-JEL SABUNLAR,SIVI,37.33,4,149.32
ACTIVEX S.SABUN 700 ML NEM.KREM *9*,ACTIVEX,KOZMETIK,DUS-BANYO,SIVI-JEL SABUNLAR,SIVI,79.26,6,484.06
ACTIVEX S.SABUN 750 ML BEN10*9*,ACTIVEX,KOZMETIK,DUS-BANYO,SIVI-JEL SABUNLAR,SIVI,33.58,7,235.06
AFACAN 5 LER BASLARI BELADA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,21.51,134,3368.13
AFACAN 5 LER DENIZLER ALTINDA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,106.85,153,2484.99
AFACAN 5 LER GEZINTIYE CIKIYOR,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,6.48,143,1986.20
AFACAN 5 LER KACAKCILAR TEPESINDE,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,101.77,183,3837.93
AFACAN 5 LER KACIYOR,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,15.11,200,3659.63
AFACAN 5 LER KAMPA GIDIYOR,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,19.58,200,3206.03
AFACAN 5 LER KARAVANLA TATILDE,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,8.67,160,2219.07
AFACAN 5 LER MACERANIN GOBEGINDE,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,12.07,199,2831.78
AFACAN 5 LER YINE KIRRIN ADASINDA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,27.14,210,3851.35
AFACANLAR CETESI - ATES GIRDABI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,78.71,148,5916.87
AFACANLAR CETESI - CUCE YARATIKLAR,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,58.69,99,4525.71
AFACANLAR CETESI - KAYIP RUH,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,231.38,129,5986.07
AFFET VE UNUT,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,20.27,272,7343.45
AFRIKADA ASK VE DIRILIS,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,11.58,170,6936.41
AHLAKSIZ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,31.02,189,7902.93
AILEDE NUR SOHBETLERI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,53.05,154,5988.73
AILEMIN SAVRULAN KULLERI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,125.56,166,5670.31
AILEMLE HERGUN BIR AYET OGRENIYORUM,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,22.83,205,3742.08
AILEMLE PEYGAMBERIMI OGRENIYORUM,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,171.47,171,2745.22
AIR WICK FM KIT+YEDEK BAHAR CIC.BE,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,MAKINA YEDEK,240.47,8,1923.76
AIR WICK FM KIT+YEDEK LAVANTA MO,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,ODA KOKULARI,205.94,5,1029.70
AIR WICK FRESHMATIK  Y.LVNT.,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,MAKINA YEDEK,212.08,7,1484.56
AIR WICK FRESHMATIK 3AL2 ODE TURKUAZ SU,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,YEDEK,189.01,7,1323.07
AIRWICK 3'LU YDK.KARADENIZ*4*,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,YEDEK,249.18,5,1245.90
AIRWICK BELFAST TURKUAZ SULAR,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,KOKULU MUM-JELLER,55.57,13,720.81
AIRWICK BELFAST YAZ ANILARI,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,SPREY PARFUMLER,36.98,7,258.86
AIRWICK F.MATIK YEDEK EGE *4*,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,MAKINA YEDEK,166.10,2,332.20
AIRWICK FM KIT PURE+YED.KIRAZ*4*,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,MAKINA YEDEK,236.01,4,944.04
AIRWICK MANOLYA VE KIRAZ CICEKLERI,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,MAKINA YEDEK,55.43,8,443.44
AIRWICK PURE AERESOL TURUNCGILLER*6*,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,KOKULU MUM-JELLER,89.39,2,178.78
AIRWICK PURE F.MATIK 3'LU YDK.BAH.ES.*4*,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,MAKINA YEDEK,232.22,15,3196.44
AIRWICK PURE F.MATIK 3'LU YDK.K.CICEGI*4*,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,MAKINA YEDEK,78.20,1,78.20
AIRWICK PURE KIRAZ CICEKLERI,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,KOKULU MUM-JELLER,47.24,3,141.72
AIRWICK STICK UP LAVANTA,AIR WICK,TEMIZLIK,KOKULAR,ODA KOKULARI,KOKULU MUM-JELLER,24.94,7,174.58
AJAN KIZ-KARANLIKTA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,75.34,237,5770.43
AJAN KIZ-SICAK VE SOGUK,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,133.92,250,7973.16
AKAT 2000 DEO BAYAN BEYAZ*24              ,AKAT,KOZMETIK,PARFUM-DEODORANT,DEODORANTLAR,DEO,31.19,8,249.52
AKAT 2000 DEO WARM BAY KIRMIZI*24         ,AKAT,KOZMETIK,PARFUM-DEODORANT,DEODORANTLAR,DEO,24.47,8,195.76
AKAT 2000 EDT BAY CREAM*14           ,AKAT,KOZMETIK,PARFUM-DEODORANT,PARFUM,PARFUMLER,119.61,11,1178.82
AKAT FREEDOM SWEETY DEO BAYAN 150 ML        ,AKAT,KOZMETIK,PARFUM-DEODORANT,DEODORANTLAR,DEO,25.66,13,284.90
AKAT SAC SPREY 180 ML GRI,AKAT,KOZMETIK,SAC BAKIM,SAC SEKILLENDIRICILER,SPREY,15.85,13,180.34
AKEL PIRINC PAKET 900 GR *25*,NERGIS,GIDA,BAKLIYAT-MAKARNA,BAKLIYAT,PIRINCLER,5.72,6,34.32
AKIL DOLU-1 YESIL,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,20.32,157,2061.26
AKIL DOLU-2 MAVI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,39.49,110,994.28
AKIL ESNETME,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,121.49,248,7049.78
AKLINI EN DOGRU SEKILDE KULLAN,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,5.76,139,6114.19
AKTIVITE ZEKA EGITIMI - 1,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,181.40,163,4789.85
AKTIVITE ZEKA EGITIMI - 2,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,10.79,175,3601.73
ALAMUT KALESI / NOKTA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,39.29,186,5305.35
ALAMUT KALESI / PANAMA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,18.42,168,6437.72
ALAMUT KALESI-FEDAILERIN YUVASI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,6.05,226,8914.87
ALAMUTUN FEDAILERI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,69.42,152,3925.07
ALCAN SU BOREGI YUFKASI 750 GR,ALCAN,KAHVALTILIK,UNLU MAMULLER,YUFKA,BOREKLIK,11.00,5,55.00
ALCAN TANDIR EKMEGI,ALCAN,GIDA,UNLU MAMUL-TATLI,EKMEK,DIGER EKMEK,18.96,2,37.92
ALCAN UCGEN YUFKA 24 YAPRAK,ALCAN,SEKERLEME,UNLU MAMUL-TATLI,TATLILAR,DIGER PAKETLI TATLILAR,17.46,2,34.92
ALDANIS,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,26.44,125,2763.45
ALDATILMIS,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,18.39,143,3580.60
ALDATMA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,7.75,227,5810.30
ALDATMACA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,33.14,135,3513.24
ALEVILIK BILDIRGESI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,155.65,169,7145.78
ALFA CEP KITAPLARI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,3.65,158,6985.54
ALG.MAG.MINI 4X345 ML DARK&WHITE PRM 67834840,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,PAKET,142.45,7,997.15
ALGIDA  KEYIF SUPRIZ VAN.600 ML ,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,1.48,7,210.82
ALGIDA 1 LT  CILEK VANILYA*6*,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,20.94,3,62.82
ALGIDA 1 LT  VISNE-LIMON*6*,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,17.40,10,158.70
ALGIDA 1 LT PRM.KARAMEL *6*,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,95.96,1,95.96
ALGIDA 1 LT PRM.VANILYA,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,36.53,6,219.18
ALGIDA 750 ML AN.FIS.VANL.,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,18.95,8,151.60
ALGIDA 750 ML CILEK-VAN.X6,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,28.88,2,57.76
ALGIDA 750 ML KEYIF FIS.VAN,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,49.35,3,148.05
ALGIDA 750 ML KEYIF KAKAO-VANILYA,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,24.85,7,173.95
ALGIDA 750 ML. VANILLA-ANTEP,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,50.15,5,250.75
ALGIDA ATOMIX 60 GR *30*,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,8.34,8,66.72
ALGIDA BIG BOLD 95ML *24*,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,PAKET,27.59,4,110.36
ALGIDA BLACK ESPRESSO,ALGIDA,SUT,DONDURMA-SUTLU TATLI,DONDURMALAR,KAPLI,13.87,6,83.22
