Date,Month,Year,Total
12,12,2021,32043.75
13,12,2021,22153.19
14,12,2021,20912.80
15,12,2021,24666.49
16,12,2021,20816.75
17,12,2021,22480.83
18,12,2021,19815.75
19,12,2021,20624.61
20,12,2021,17387.59
21,12,2021,21869.35
22,12,2021,18235.92
23,12,2021,25242.73
24,12,2021,26665.12
25,12,2021,15809.61
26,12,2021,20446.18
27,12,2021,22464.44
28,12,2021,30573.79
29,12,2021,18251.01
30,12,2021,21787.06
31,12,2021,26754.20
1,1,2022,22467.82
2,1,2022,23834.10
3,1,2022,26962.64
4,1,2022,30006.00
5,1,2022,23564.05
6,1,2022,30371.58
7,1,2022,21469.47
8,1,2022,23798.39
9,1,2022,25484.74
10,1,2022,23368.49
11,1,2022,24225.99
12,1,2022,20171.89
13,1,2022,21427.56
14,1,2022,25634.55
15,1,2022,26520.38
16,1,2022,26417.79
17,1,2022,20869.87
18,1,2022,23164.15
19,1,2022,28680.82
20,1,2022,27692.81
21,1,2022,31674.11
22,1,2022,27027.19
23,1,2022,30860.37
24,1,2022,22370.10
25,1,2022,25115.53
26,1,2022,27160.55
27,1,2022,29180.73
28,1,2022,24495.60
29,1,2022,29460.65
30,1,2022,25482.87
31,1,2022,29254.22
1,2,2022,35951.73
2,2,2022,23936.44
3,2,2022,23026.52
4,2,2022,28903.87
5,2,2022,32224.46
6,2,2022,34147.46
7,2,2022,25434.13
8,2,2022,34847.59
9,2,2022,19700.05
10,2,2022,27594.64
11,2,2022,24222.43
12,2,2022,17724.10
13,2,2022,25115.62
14,2,2022,32755.46
15,2,2022,22941.21
16,2,2022,23185.40
17,2,2022,33922.12
18,2,2022,21561.59
19,2,2022,27949.97
20,2,2022,30284.10
21,2,2022,23995.99
22,2,2022,25445.29
23,2,2022,33980.31
24,2,2022,23522.33
25,2,2022,20254.54
26,2,2022,33520.56
27,2,2022,27519.70
28,2,2022,23798.31
1,3,2022,35603.48
2,3,2022,24337.81
3,3,2022,25219.08
4,3,2022,36624.37
5,3,2022,24618.49
6,3,2022,26681.42
7,3,2022,29695.15
8,3,2022,27395.26
9,3,2022,21493.18
10,3,2022,31408.45
11,3,2022,29309.39
12,3,2022,26350.48
13,3,2022,27912.11
14,3,2022,26485.28
15,3,2022,21351.78
16,3,2022,37263.33
17,3,2022,32539.82
18,3,2022,24426.67
19,3,2022,26061.41
20,3,2022,35270.81
21,3,2022,26179.09
22,3,2022,25527.41
23,3,2022,27061.23
24,3,2022,19355.31
25,3,2022,26599.80
26,3,2022,22101.82
27,3,2022,37280.38
28,3,2022,26574.65
29,3,2022,19770.46
30,3,2022,30878.34
31,3,2022,29097.86
1,4,2022,30536.90
2,4,2022,21437.78
3,4,2022,23265.76
4,4,2022,29159.67
5,4,2022,36186.03
6,4,2022,33809.45
7,4,2022,21029.48
8,4,2022,32368.99
9,4,2022,38384.97
10,4,2022,24597.69
11,4,2022,30440.95
12,4,2022,25630.46
13,4,2022,30265.18
14,4,2022,26527.11
15,4,2022,37594.72
16,4,2022,36345.94
17,4,2022,34240.17
18,4,2022,30869.87
19,4,2022,22905.32
20,4,2022,26162.14
21,4,2022,32299.90
22,4,2022,28205.57
23,4,2022,32089.18
24,4,2022,24277.63
25,4,2022,29194.38
26,4,2022,24655.07
27,4,2022,28459.37
28,4,2022,25823.47
29,4,2022,33831.16
30,4,2022,25993.34
1,5,2022,25953.98
2,5,2022,30129.68
3,5,2022,36204.07
4,5,2022,33905.87
5,5,2022,32195.97
6,5,2022,26101.93
7,5,2022,26871.26
8,5,2022,27571.45
9,5,2022,38073.60
10,5,2022,22687.65
11,5,2022,21550.81
12,5,2022,35850.54
13,5,2022,29392.67
14,5,2022,29549.72
15,5,2022,26746.34
16,5,2022,28508.69
17,5,2022,23036.25
18,5,2022,29025.75
19,5,2022,26433.23
20,5,2022,27554.22
21,5,2022,29461.59
22,5,2022,34947.64
23,5,2022,35688.84
24,5,2022,29092.11
25,5,2022,26859.80
26,5,2022,33670.75
27,5,2022,22861.68
28,5,2022,32469.43
29,5,2022,23504.08
30,5,2022,26113.83
31,5,2022,30997.22
1,6,2022,26702.91
2,6,2022,36644.95
3,6,2022,26607.22
4,6,2022,26247.68
5,6,2022,19516.95
6,6,2022,26136.78
7,6,2022,33524.90
8,6,2022,40123.12
9,6,2022,28088.57
10,6,2022,24941.25
11,6,2022,24410.43
12,6,2022,28826.06
13,6,2022,32834.25
14,6,2022,25458.50
15,6,2022,41001.38
16,6,2022,30687.29
17,6,2022,27014.92
18,6,2022,29474.44
19,6,2022,29462.37
20,6,2022,24596.61
21,6,2022,29670.73
22,6,2022,23072.27
23,6,2022,29718.98
24,6,2022,28320.12
25,6,2022,35074.98
26,6,2022,40151.39
27,6,2022,29029.02
28,6,2022,21131.28
29,6,2022,40294.36
30,6,2022,38578.47
1,7,2022,35854.47
2,7,2022,31990.39
3,7,2022,30389.56
4,7,2022,46659.35
5,7,2022,25716.60
6,7,2022,29249.81
7,7,2022,32083.36
8,7,2022,27817.72
9,7,2022,29006.42
10,7,2022,29790.71
11,7,2022,34224.47
12,7,2022,29584.07
13,7,2022,37400.74
14,7,2022,28446.05
15,7,2022,32637.86
16,7,2022,27616.46
17,7,2022,25139.66
18,7,2022,36254.41
19,7,2022,24360.09
20,7,2022,31250.85
21,7,2022,29423.92
22,7,2022,41250.52
23,7,2022,25122.55
24,7,2022,34561.80
25,7,2022,30408.39
26,7,2022,23737.11
27,7,2022,27001.51
28,7,2022,25950.11
29,7,2022,28960.96
30,7,2022,23609.16
31,7,2022,23321.06
1,8,2022,37393.17
2,8,2022,29040.54
3,8,2022,29879.99
4,8,2022,37442.28
5,8,2022,29919.09
6,8,2022,32393.98
7,8,2022,40740.24
8,8,2022,35469.08
9,8,2022,22523.95
10,8,2022,36184.46
11,8,2022,41924.21
12,8,2022,23126.81
13,8,2022,23292.25
14,8,2022,26394.63
15,8,2022,29165.04
16,8,2022,31027.85
17,8,2022,23351.95
18,8,2022,40115.84
19,8,2022,31364.46
20,8,2022,35007.21
21,8,2022,31159.23
22,8,2022,31495.48
23,8,2022,28464.83
24,8,2022,23677.04
25,8,2022,32802.87
26,8,2022,24679.54
27,8,2022,37812.13
28,8,2022,23337.11
29,8,2022,35783.49
30,8,2022,27723.66
31,8,2022,31455.63
1,9,2022,23926.07
2,9,2022,26640.66
3,9,2022,31667.71
4,9,2022,34270.06
5,9,2022,33840.77
6,9,2022,24981.91
7,9,2022,30218.71
8,9,2022,32590.27
9,9,2022,29280.36
10,9,2022,37432.70
11,9,2022,30197.32
12,9,2022,35048.83
13,9,2022,31676.22
14,9,2022,31675.79
15,9,2022,35669.00
16,9,2022,39486.02
17,9,2022,26015.93
18,9,2022,25406.26
19,9,2022,41718.89
20,9,2022,34153.05
21,9,2022,37189.47
22,9,2022,32022.47
23,9,2022,32490.19
24,9,2022,36963.71
25,9,2022,35895.56
26,9,2022,35347.94
27,9,2022,29948.29
28,9,2022,29436.82
29,9,2022,36384.92
30,9,2022,24407.13
1,10,2022,23909.49
2,10,2022,32848.94
3,10,2022,34118.97
4,10,2022,26541.47
5,10,2022,33836.99
6,10,2022,39713.77
7,10,2022,30342.48
8,10,2022,26703.99
9,10,2022,25517.37
10,10,2022,42331.60
11,10,2022,29740.67
12,10,2022,35171.00
13,10,2022,33887.65
14,10,2022,31069.42
15,10,2022,25380.89
16,10,2022,31577.79
17,10,2022,29582.53
18,10,2022,29710.46
19,10,2022,24749.40
20,10,2022,22103.75
21,10,2022,29604.78
22,10,2022,37369.98
23,10,2022,32129.47
24,10,2022,28035.79
25,10,2022,33761.41
26,10,2022,21313.33
27,10,2022,27358.25
28,10,2022,36604.82
29,10,2022,29631.13
30,10,2022,27095.94
31,10,2022,32762.04
1,11,2022,30104.15
2,11,2022,31152.35
3,11,2022,32182.69
4,11,2022,32494.21
5,11,2022,38457.98
6,11,2022,31211.31
7,11,2022,40589.94
8,11,2022,26833.42
9,11,2022,37883.84
10,11,2022,29422.47
11,11,2022,32421.08
12,11,2022,39660.28
13,11,2022,38859.19
14,11,2022,37056.28
15,11,2022,38429.57
16,11,2022,36233.33
17,11,2022,35035.98
18,11,2022,40505.95
19,11,2022,32410.27
20,11,2022,33855.66
21,11,2022,35721.40
22,11,2022,34995.34
23,11,2022,33592.76
24,11,2022,27226.79
25,11,2022,40134.45
26,11,2022,26936.79
27,11,2022,29468.98
28,11,2022,31775.04
29,11,2022,24549.17
30,11,2022,32070.43
1,12,2022,31897.35
2,12,2022,28735.78
3,12,2022,25959.12
4,12,2022,27607.54
5,12,2022,39575.75
6,12,2022,26386.20
7,12,2022,26866.83
8,12,2022,27694.71
9,12,2022,32841.62
10,12,2022,35012.75
11,12,2022,26952.88
12,12,2022,31672.25
13,12,2022,32429.88
14,12,2022,30336.32
15,12,2022,39947.95
16,12,2022,39207.50
17,12,2022,34865.98
18,12,2022,32346.77
19,12,2022,35518.60
20,12,2022,27515.43
21,12,2022,41680.50
22,12,2022,31060.92
23,12,2022,30537.32
24,12,2022,33187.27
25,12,2022,42140.67
26,12,2022,34150.75
27,12,2022,35218.14
28,12,2022,36403.80
29,12,2022,30037.44
30,12,2022,30602.14
31,12,2022,32899.51
1,1,2023,32910.51
2,1,2023,29907.00
3,1,2023,28387.47
4,1,2023,39452.69
5,1,2023,43219.58
6,1,2023,26473.88
7,1,2023,30917.92
8,1,2023,26887.62
9,1,2023,28085.77
10,1,2023,25415.24
11,1,2023,29434.92
12,1,2023,22140.12
13,1,2023,23197.80
14,1,2023,29686.44
15,1,2023,31493.38
16,1,2023,32828.30
17,1,2023,34817.62
18,1,2023,24275.32
19,1,2023,29640.23
20,1,2023,24905.42
21,1,2023,31900.29
22,1,2023,24930.10
23,1,2023,31093.05
24,1,2023,28345.01
25,1,2023,34555.95
26,1,2023,33882.84
27,1,2023,22970.33
28,1,2023,25718.84
29,1,2023,25501.96
30,1,2023,30095.93
31,1,2023,36495.48
1,2,2023,24823.98
2,2,2023,34134.18
3,2,2023,35706.23
4,2,2023,36908.24
5,2,2023,35918.96
6,2,2023,30988.19
7,2,2023,29382.91
8,2,2023,41282.87
9,2,2023,37658.47
10,2,2023,33710.44
11,2,2023,27179.73
12,2,2023,25042.21
13,2,2023,26835.47
14,2,2023,38852.02
15,2,2023,31742.13
16,2,2023,29530.15
17,2,2023,31576.19
18,2,2023,38164.48
19,2,2023,38453.64
20,2,2023,35287.00
21,2,2023,28134.48
22,2,2023,27712.43
23,2,2023,33300.29
24,2,2023,30233.81
25,2,2023,27999.86
26,2,2023,31849.79
27,2,2023,27806.50
28,2,2023,30381.25
1,3,2023,47189.77
2,3,2023,31433.10
3,3,2023,29265.06
4,3,2023,21237.14
5,3,2023,25578.95
6,3,2023,27723.75
7,3,2023,36053.43
8,3,2023,33631.63
9,3,2023,23677.04
10,3,2023,21910.46
11,3,2023,35892.48
12,3,2023,42850.68
13,3,2023,22171.11
14,3,2023,46830.67
15,3,2023,43688.89
16,3,2023,32303.00
17,3,2023,38317.49
18,3,2023,28441.78
19,3,2023,26756.93
20,3,2023,38438.89
21,3,2023,33373.65
22,3,2023,24689.74
23,3,2023,26950.69
24,3,2023,35011.61
25,3,2023,33567.77
26,3,2023,33329.44
27,3,2023,26371.69
28,3,2023,38940.77
29,3,2023,26910.14
30,3,2023,36782.08
31,3,2023,33199.58
1,4,2023,28499.18
2,4,2023,32383.57
3,4,2023,24286.20
4,4,2023,25354.80
5,4,2023,33378.35
6,4,2023,33290.47
7,4,2023,23014.60
8,4,2023,19093.69
9,4,2023,32357.62
10,4,2023,25877.62
11,4,2023,44954.64
12,4,2023,28506.79
13,4,2023,34009.93
14,4,2023,37008.36
15,4,2023,26932.55
16,4,2023,29589.97
17,4,2023,28720.29
18,4,2023,31870.24
19,4,2023,27752.42
20,4,2023,30129.21
21,4,2023,38403.33
22,4,2023,42427.71
23,4,2023,37388.41
24,4,2023,30359.89
25,4,2023,33890.36
26,4,2023,30967.39
27,4,2023,40597.23
28,4,2023,29272.87
29,4,2023,29986.63
30,4,2023,33348.16
1,5,2023,27777.73
2,5,2023,29064.33
3,5,2023,42518.81
4,5,2023,39734.01
5,5,2023,32063.34
6,5,2023,34797.80
7,5,2023,40510.65
8,5,2023,34419.48
9,5,2023,26979.21
10,5,2023,33114.29
11,5,2023,34044.69
12,5,2023,29846.09
13,5,2023,31760.37
14,5,2023,37330.84
15,5,2023,37708.69
16,5,2023,34022.38
17,5,2023,43660.09
18,5,2023,43587.44
19,5,2023,31628.63
20,5,2023,31419.03
21,5,2023,37565.98
22,5,2023,33656.58
23,5,2023,29690.50
24,5,2023,32112.67
25,5,2023,33806.50
26,5,2023,27025.25
27,5,2023,26186.67
28,5,2023,32088.73
29,5,2023,30111.85
30,5,2023,29947.02
31,5,2023,31487.47
1,6,2023,46876.08
2,6,2023,27218.11
3,6,2023,34745.30
4,6,2023,29088.69
5,6,2023,37421.48
6,6,2023,39480.37
7,6,2023,23382.02
8,6,2023,41685.27
9,6,2023,42947.80
10,6,2023,34175.72
11,6,2023,32286.42
12,6,2023,32023.71
13,6,2023,37102.70
14,6,2023,30160.60
15,6,2023,47962.02
16,6,2023,36865.21
17,6,2023,33523.29
18,6,2023,35304.01
19,6,2023,35425.01
20,6,2023,37895.86
21,6,2023,37429.21
22,6,2023,24107.16
23,6,2023,33339.51
24,6,2023,30379.38
25,6,2023,44134.72
26,6,2023,32162.88
27,6,2023,25705.70
28,6,2023,38764.29
29,6,2023,35504.23
30,6,2023,47649.90
1,7,2023,65402.04
2,7,2023,48966.03
3,7,2023,51555.50
4,7,2023,44497.24
5,7,2023,52472.29
6,7,2023,76367.52
7,7,2023,50553.07
8,7,2023,47691.88
9,7,2023,52127.94
10,7,2023,61165.45
11,7,2023,38247.09
12,7,2023,57104.76
13,7,2023,47679.27
14,7,2023,57483.62
15,7,2023,44574.77
16,7,2023,49742.21
17,7,2023,38989.43
18,7,2023,54826.97
19,7,2023,43281.64
20,7,2023,53005.22
21,7,2023,62110.63
22,7,2023,41191.88
23,7,2023,67626.96
24,7,2023,45310.89
25,7,2023,45805.12
26,7,2023,51728.97
27,7,2023,45382.14
28,7,2023,61188.39
29,7,2023,47707.80
30,7,2023,39625.10
31,7,2023,54076.55
1,8,2023,48062.04
2,8,2023,44887.00
3,8,2023,60373.67
4,8,2023,60100.13
5,8,2023,53226.15
6,8,2023,56642.40
7,8,2023,55626.34
8,8,2023,49513.98
9,8,2023,44443.83
10,8,2023,51475.29
11,8,2023,49454.52
12,8,2023,60789.69
13,8,2023,47968.79
14,8,2023,44327.54
